,Variance %,Cum. Variance %,Singular Value
PC1,0.3636659056231185,0.3636659056231185,24.98100666605073
PC2,0.1973082231598465,0.560974128782965,18.40056822335377
PC3,0.11711407920612517,0.6780882079890902,14.176309813125231
PC4,0.09003053144333051,0.7681187394324207,12.429496850506665
