,Variance %,Cum. Variance %,Singular Value
PC1,0.2693780512809317,0.2693780512809317,24.222002305545868
PC2,0.14348259930730567,0.41286065058823734,17.67781381538203
PC3,0.10302237040304373,0.515883020991281,14.97940995960219
PC4,0.07081722335517271,0.5867002443464537,12.41933623297019
