ID;L - HOMO;L - LUMO;L - Q(L);L2Ni - A(L,Ni,L);L2Ni - BO(Ni,L);L2Ni - Bur_V;L2Ni - HOMO;L2Ni - LUMO;L2Ni - Q(Ni);L2Ni - R(Ni,L);L2Ni - Sterimol_B1(Ni,P);L2Ni - Sterimol_B5(Ni,P);L2Ni - Sterimol_L(Ni,P);L2Ni - dQ(L);L2NiX - A(L,Ni,C);L2NiX - A(L,Ni,L);L2NiX - BO(Ni,L);L2NiX - Bur_V;L2NiX - HOMO;L2NiX - LUMO;L2NiX - R(Ni,C);L2NiX - R(Ni,L);L2NiX - SD(L);L2NiX - Sterimol_B1(Ni,C);L2NiX - Sterimol_B1(Ni,P);L2NiX - Sterimol_B5(Ni,C);L2NiX - Sterimol_B5(Ni,P);L2NiX - Sterimol_L(Ni,C);L2NiX - Sterimol_L(Ni,P);L2NiX - dBO(Ni,C);L2NiX - dQ(C);L2NiX - dQ(L);L2NiX - dQ(Ni);L2NiX - dSD(C);L2NiX - dSD(Ni);L2NiX TO L2Ni + X;L2NiX TO L2NiX2 + L2Ni;L2NiX2 - A(C,Ni,C);L2NiX2 - A(L,Ni,L);L2NiX2 - BO(Ni,L);L2NiX2 - Bur_V;L2NiX2 - HOMO;L2NiX2 - LUMO;L2NiX2 - R(Ni,C);L2NiX2 - R(Ni,L);L2NiX2 - Sterimol_B1(Ni,P);L2NiX2 - Sterimol_B5(Ni,P);L2NiX2 - Sterimol_L(Ni,P);L2NiX2 - dBO(Ni,C);L2NiX2 - dQ(L);L2NiX2 - dQ(Ni);L2NiX2 TO L2Ni + X2;Substituent;Backbone
20;-0.17545;-0.06497;1.361945;120.2363526;0.8515;75.78598783;-0.14691;-0.06069;-0.26545;2.064709992;4.975215298;7.267724529;6.03245867;0.123435;128.7011526;102.5950197;0.7213;79.42996322;-0.16106;-0.06827;1.970361986;2.243113428;0.058855;1.700000048;3.320978002;3.444010527;8.942198532;7.396376105;9.3217578;0.0702;0.06975;0.257335;-0.68088;0.06831;-0.23836;32.11279733;-10.21208918;80.92989924;100.6233876;0.8054;92.30627093;-0.16869;-0.06887;1.912192937;2.206149094;3.261727361;8.785361098;9.294153611;0.02535;0.426645;-1.01623;-20.77244612;OPh;ferrocenyl
21;-0.16551;-0.05275;1.33527;131.4401002;0.8335;69.63671412;-0.12745;-0.05078;-0.37839;2.082609739;3.728681517;7.227172829;7.701231109;0.18507;128.176858;103.6264547;0.7231;93.6351683;-0.15665;-0.05436;1.992821262;2.274281234;0.055405;1.700000048;4.540297121;3.282106863;7.182006191;7.424458545;6.727076158;0.0442;0.04591;0.280295;-0.75754;0.03593;-0.24929;43.12370608;4.703183507;81.80881751;96.24977332;0.7615;92.87714068;-0.15475;-0.05923;1.909457924;2.224204956;4.045017093;7.315880069;7.350072488;0.02865;0.479055;-1.04533;-13.66590133;OiPr;ferrocenyl
22;-0.17543;-0.07535;0.88244;119.9095329;0.7049;69.02554522;-0.14106;-0.07338;-0.03039;2.075366329;4.422851032;8.323326726;8.395213757;0.06181;123.828409;105.2369415;0.66365;85.4261141;-0.15955;-0.07986;1.96859224;2.26930345;0.05302;1.700000048;5.056866476;3.396872831;8.759795112;7.337627209;8.480356766;0.0396;0.07294;0.156255;-0.48539;0.06328;-0.24121;39.22687224;-0.254141336;81.37948422;102.8233006;0.62675;95.44160011;-0.16362;-0.07866;1.903355411;2.274005415;5.012975475;8.597629098;8.351515093;-0.00285;0.277225;-0.78542;-16.50224415;C6F5;ferrocenyl
23;-0.18238;-0.07865;0.77644;115.6745197;0.80715;49.3779371;-0.1132;-0.07524;-0.23538;2.065008075;2.871208735;7.694980488;7.353315874;0.12979;132.4405476;95.1188857;0.73735;67.67722909;-0.14437;-0.08578;1.972383667;2.228663801;0.087175;1.700000048;2.983912005;3.365197531;7.830309602;7.412590661;8.058248671;0.0999;0.06273;0.238635;-0.67334;0.02349;-0.22837;50.54149557;2.321157544;83.59094361;95.16369688;0.7671;83.69137162;-0.15053;-0.08685;1.913024348;2.186851811;2.974505015;7.804542869;8.033468074;0.0445;0.4072;-0.93287;3.551703623;Me;naphthyl
24;-0.16999;-0.07919;0.796465;109.622333;0.8359;60.45010984;-0.11229;-0.07356;-0.1891;2.078315961;3.534331445;7.529017014;7.016673082;0.1113;134.1968648;91.54289757;0.7077;78.85958067;-0.13989;-0.08381;1.97107642;2.239648312;0.08581;1.700000048;3.583808936;3.243538047;7.603797498;7.412157554;7.482664439;0.0779;0.06851;0.233835;-0.64803;0.00969;-0.25576;52.49995264;10.78751537;81.89295298;92.71455913;0.73175;94.42340288;-0.14765;-0.08415;1.906999835;2.226092607;3.508142531;7.670914901;7.775124169;0.0225;0.380595;-0.91228;-0.997740063;i-Pr;naphthyl
25;-0.187;-0.08414;0.827555;107.3022252;0.80095;56.16740345;-0.12429;-0.07963;-0.07215;2.068397924;4.162563796;7.634047824;7.678993517;0.08935;134.1296705;90.25354366;0.6903;75.18623354;-0.14968;-0.08931;1.966912546;2.239416436;0.078015;1.700000048;4.497360047;3.256524626;7.65055988;7.407421935;7.748388087;0.083;0.06572;0.200635;-0.59087;0.02694;-0.24535;46.88437035;2.992592682;82.64463936;91.81832082;0.72835;89.35406273;-0.15469;-0.09106;1.906790473;2.20481358;4.561649907;7.697445663;7.774879458;0.0236;0.35231;-0.87954;-4.433981944;Ph;naphthyl
26;-0.16096;-0.07709;0.82295;118.6852663;0.8323;72.30446185;-0.10813;-0.07414;-0.23363;2.071879898;3.87355224;7.644474889;7.157263692;0.09579;130.9131519;97.81842347;0.71265;91.41384322;-0.14403;-0.08385;1.988436299;2.240153588;0.09331;1.700000048;3.905614694;3.287092221;7.828633108;7.427464504;7.925430178;0.0616;0.04135;0.208915;-0.65427;-0.01199;-0.2621;50.64879969;30.59234188;79.90662569;93.84006069;0.6745;96.07100454;-0.14492;-0.08379;1.914177994;2.313253717;3.977050135;7.52770364;7.357077665;-0.0087;0.282995;-0.81018;-24.50487247;t-Bu;naphthyl
27;-0.17818;-0.07339;0.7769;115.3545232;0.8685;58.02582741;-0.1136;-0.07502;-0.23894;2.066894656;3.298322342;7.697076465;7.35681058;0.127135;132.3350795;95.32067982;0.7399;77.10298339;-0.13979;-0.08513;1.967605604;2.221723234;0.08473;1.700000048;3.413200547;3.268151588;7.822548095;7.409863037;8.013494035;0.0832;0.07342;0.25095;-0.69538;0.01454;-0.25974;50.65068222;2.672562849;84.83285732;95.43349933;0.7643;91.89304809;-0.14975;-0.08723;1.909783175;2.182833658;3.213039738;7.802274545;8.02218675;0.03495;0.41352;-0.95124;3.418671615;Et;naphthyl
28;-0.16706;-0.07584;0.82107;112.4690336;0.8449;63.19984789;-0.11064;-0.07253;-0.20937;2.072328734;4.513186501;7.896704963;7.472649825;0.114295;133.0725729;93.84906174;0.72885;84.3933702;-0.14486;-0.08271;1.980514043;2.230460629;0.09495;1.700000048;4.739010025;3.328102125;7.75449277;7.421850245;7.784808773;0.0902;0.04331;0.24464;-0.67858;-0.02039;-0.26566;52.55266343;14.27082046;80.27350062;94.44385223;0.7271;95.88224585;-0.14828;-0.08445;1.909434029;2.235696375;4.807921623;7.831709158;8.071462532;0.009;0.361265;-0.90491;-4.375623563;Cy;naphthyl
29;-0.23022;-0.10795;0.62721;108.7448294;0.80175;56.54081435;-0.15416;-0.09806;0.00503;2.034069152;3.545023127;7.698265101;7.495028705;0.05296;134.0277615;91.93637377;0.7046;76.04594864;-0.18009;-0.11034;1.958442673;2.206896503;0.07167;1.700000048;3.600566167;3.515827061;7.773453005;7.369585393;8.079617726;0.0997;0.06166;0.148205;-0.56815;0.0587;-0.23043;33.05908162;-6.266937117;81.08674225;93.50301166;0.78105;91.2662885;-0.18445;-0.11021;1.904169139;2.169130835;3.611014113;7.756211873;8.006231302;0.0339;0.287675;-0.92021;-22.82502961;CF3;naphthyl
